0,7.952,14.929,20.897,25.86,29.78,32.799,34.825,36.842,39.792,43.761,48.741,54.697,61.658,69.585,78.549,84.602
,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,
,7.952,,,,,,,,,,,,,,,
,14.929,,,,,,,,,,,,,,,
,20.897,,,,,,,,,,,,,,,
,25.86,,,,,,,,,,,,,,,
,29.78,,,,,,,,,,,,,,,
,32.799,,,,,,,,,,,,,,,
,34.825,,,,,,,,,,,,,,,
,36.842,,,,,,,,,,,,,,,
,39.792,,,,,,,,,,,,,,,
,43.761,,,,,,,,,,,,,,,
,48.741,,,,,,,,,,,,,,,
,54.697,,,,,,,,,,,,,,,
,61.658,,,,,,,,,,,,,,,
,69.585,,,,,,,,,,,,,,,
,78.549,,,,,,,,,,,,,,,
,84.602,,,,,,,,,,,,,,,
